symbol,session,session_bar_rows,first_pacific,last_pacific,premarket_0400_0630_rows,premarket_0400_0630_possible_minutes,regular_0630_1300_rows,regular_0630_1300_possible_minutes,afterhours_1300_1700_rows,afterhours_1300_1700_possible_minutes,late_1400_1700_rows,late_1400_1700_possible_minutes
AAPL,2026-09-08,889,2026-09-08 01:00:00-07:00,2026-09-08 16:59:00-07:00,147,150,390,390,194,240,137,180
AAPL,2026-09-09,944,2026-09-09 01:00:00-07:00,2026-09-09 16:59:00-07:00,150,150,390,390,228,240,170,180
AAPL,2026-09-10,940,2026-09-10 01:00:00-07:00,2026-09-10 16:59:00-07:00,150,150,390,390,222,240,163,180
AAPL,2026-09-11,841,2026-09-11 01:00:00-07:00,2026-09-11 16:59:00-07:00,146,150,390,390,165,240,115,180
AMZN,2026-09-08,848,2026-09-08 01:00:00-07:00,2026-09-08 16:59:00-07:00,139,150,390,390,177,240,124,180
AMZN,2026-09-09,870,2026-09-09 01:00:00-07:00,2026-09-09 16:59:00-07:00,150,150,390,390,167,240,119,180
AMZN,2026-09-10,851,2026-09-10 01:01:00-07:00,2026-09-10 16:59:00-07:00,142,150,390,390,183,240,133,180
AMZN,2026-09-11,797,2026-09-11 01:00:00-07:00,2026-09-11 16:59:00-07:00,134,150,390,390,145,240,108,180
GOOG,2026-09-08,774,2026-09-08 01:00:00-07:00,2026-09-08 16:58:00-07:00,126,150,390,390,134,240,89,180
GOOG,2026-09-09,811,2026-09-09 01:00:00-07:00,2026-09-09 16:59:00-07:00,150,150,390,390,145,240,100,180
GOOG,2026-09-10,765,2026-09-10 01:01:00-07:00,2026-09-10 16:58:00-07:00,130,150,390,390,126,240,94,180
GOOG,2026-09-11,761,2026-09-11 01:00:00-07:00,2026-09-11 16:59:00-07:00,132,150,390,390,109,240,76,180
MU,2026-09-08,957,2026-09-08 01:00:00-07:00,2026-09-08 16:59:00-07:00,150,150,390,390,237,240,177,180
MU,2026-09-09,952,2026-09-09 01:00:00-07:00,2026-09-09 16:59:00-07:00,150,150,390,390,232,240,172,180
MU,2026-09-10,958,2026-09-10 01:00:00-07:00,2026-09-10 16:59:00-07:00,150,150,390,390,239,240,179,180
MU,2026-09-11,933,2026-09-11 01:00:00-07:00,2026-09-11 16:59:00-07:00,150,150,390,390,218,240,158,180
NVDA,2026-09-08,922,2026-09-08 01:00:00-07:00,2026-09-08 16:59:00-07:00,148,150,390,390,212,240,155,180
NVDA,2026-09-09,907,2026-09-09 01:00:00-07:00,2026-09-09 16:56:00-07:00,150,150,390,390,189,240,134,180
NVDA,2026-09-10,910,2026-09-10 01:00:00-07:00,2026-09-10 16:59:00-07:00,150,150,390,390,207,240,152,180
NVDA,2026-09-11,865,2026-09-11 01:00:00-07:00,2026-09-11 16:54:00-07:00,147,150,390,390,157,240,105,180
SNDK,2026-09-08,952,2026-09-08 01:00:00-07:00,2026-09-08 16:59:00-07:00,150,150,390,390,232,240,175,180
SNDK,2026-09-09,916,2026-09-09 01:00:00-07:00,2026-09-09 16:59:00-07:00,148,150,390,390,203,240,145,180
SNDK,2026-09-10,932,2026-09-10 01:00:00-07:00,2026-09-10 16:59:00-07:00,150,150,390,390,220,240,165,180
SNDK,2026-09-11,907,2026-09-11 01:00:00-07:00,2026-09-11 16:59:00-07:00,149,150,390,390,201,240,148,180
COST,2026-09-08,562,2026-09-08 01:00:00-07:00,2026-09-08 16:58:00-07:00,43,150,390,390,90,240,73,180
COST,2026-09-09,488,2026-09-09 01:08:00-07:00,2026-09-09 16:57:00-07:00,30,150,390,390,40,240,28,180
COST,2026-09-10,526,2026-09-10 01:06:00-07:00,2026-09-10 16:46:00-07:00,67,150,388,390,37,240,21,180
COST,2026-09-11,468,2026-09-11 01:02:00-07:00,2026-09-11 16:59:00-07:00,31,150,386,390,20,240,7,180
