session,symbol,hourly_points,available,missing
2026-09-08,AAPL,14,14,0
2026-09-08,AMZN,14,14,0
2026-09-08,COST,14,13,1
2026-09-08,GOOG,14,14,0
2026-09-08,MU,14,14,0
2026-09-08,NVDA,14,14,0
2026-09-08,SNDK,14,14,0
2026-09-09,AAPL,14,14,0
2026-09-09,AMZN,14,14,0
2026-09-09,COST,14,11,3
2026-09-09,GOOG,14,14,0
2026-09-09,MU,14,14,0
2026-09-09,NVDA,14,14,0
2026-09-09,SNDK,14,14,0
2026-09-10,AAPL,14,14,0
2026-09-10,AMZN,14,14,0
2026-09-10,COST,14,12,2
2026-09-10,GOOG,14,14,0
2026-09-10,MU,14,14,0
2026-09-10,NVDA,14,14,0
2026-09-10,SNDK,14,14,0
2026-09-11,AAPL,14,14,0
2026-09-11,AMZN,14,14,0
2026-09-11,COST,14,11,3
2026-09-11,GOOG,14,14,0
2026-09-11,MU,14,14,0
2026-09-11,NVDA,14,14,0
2026-09-11,SNDK,14,14,0
