selector,month,symbol,source_sessions
legacy,2023-04,AAPL,3
legacy,2023-04,AMZN,8
legacy,2023-04,GOOG,4
legacy,2023-04,MU,2
legacy,2023-04,NVDA,5
legacy,2023-05,AAPL,9
legacy,2023-05,AMZN,9
legacy,2023-05,COST,1
legacy,2023-05,GOOG,2
legacy,2023-05,MU,4
legacy,2023-05,NVDA,9
legacy,2023-06,AAPL,16
legacy,2023-06,AMZN,15
legacy,2023-06,COST,1
legacy,2023-06,GOOG,8
legacy,2023-06,MU,7
legacy,2023-06,NVDA,21
legacy,2023-07,AAPL,18
legacy,2023-07,AMZN,18
legacy,2023-07,COST,4
legacy,2023-07,GOOG,13
legacy,2023-07,MU,7
legacy,2023-07,NVDA,19
legacy,2023-08,AAPL,23
legacy,2023-08,AMZN,23
legacy,2023-08,COST,2
legacy,2023-08,GOOG,10
legacy,2023-08,MU,8
legacy,2023-08,NVDA,23
legacy,2023-09,AAPL,20
legacy,2023-09,AMZN,19
legacy,2023-09,COST,1
legacy,2023-09,GOOG,9
legacy,2023-09,MU,8
legacy,2023-09,NVDA,20
legacy,2023-10,AAPL,21
legacy,2023-10,AMZN,22
legacy,2023-10,COST,2
legacy,2023-10,GOOG,12
legacy,2023-10,MU,5
legacy,2023-10,NVDA,22
legacy,2023-11,AAPL,19
legacy,2023-11,AMZN,17
legacy,2023-11,COST,2
legacy,2023-11,GOOG,8
legacy,2023-11,MU,3
legacy,2023-11,NVDA,19
legacy,2023-12,AAPL,17
legacy,2023-12,AMZN,15
legacy,2023-12,COST,3
legacy,2023-12,GOOG,11
legacy,2023-12,MU,4
legacy,2023-12,NVDA,19
legacy,2024-01,AAPL,19
legacy,2024-01,AMZN,16
legacy,2024-01,COST,1
legacy,2024-01,GOOG,11
legacy,2024-01,MU,7
legacy,2024-01,NVDA,21
legacy,2024-02,AAPL,19
legacy,2024-02,AMZN,18
legacy,2024-02,COST,4
legacy,2024-02,GOOG,14
legacy,2024-02,MU,7
legacy,2024-02,NVDA,20
legacy,2024-03,AAPL,19
legacy,2024-03,AMZN,18
legacy,2024-03,COST,11
legacy,2024-03,GOOG,15
legacy,2024-03,MU,13
legacy,2024-03,NVDA,20
legacy,2024-04,AAPL,22
legacy,2024-04,AMZN,22
legacy,2024-04,COST,11
legacy,2024-04,GOOG,18
legacy,2024-04,MU,21
legacy,2024-04,NVDA,22
legacy,2024-05,AAPL,22
legacy,2024-05,AMZN,22
legacy,2024-05,COST,9
legacy,2024-05,GOOG,16
legacy,2024-05,MU,18
legacy,2024-05,NVDA,22
legacy,2024-06,AAPL,19
legacy,2024-06,AMZN,19
legacy,2024-06,COST,8
legacy,2024-06,GOOG,18
legacy,2024-06,MU,17
legacy,2024-06,NVDA,19
legacy,2024-07,AAPL,21
legacy,2024-07,AMZN,21
legacy,2024-07,COST,16
legacy,2024-07,GOOG,20
legacy,2024-07,MU,21
legacy,2024-07,NVDA,21
legacy,2024-08,AAPL,22
legacy,2024-08,AMZN,22
legacy,2024-08,COST,17
legacy,2024-08,GOOG,21
legacy,2024-08,MU,22
legacy,2024-08,NVDA,22
legacy,2024-09,AAPL,20
legacy,2024-09,AMZN,20
legacy,2024-09,COST,14
legacy,2024-09,GOOG,20
legacy,2024-09,MU,20
legacy,2024-09,NVDA,20
legacy,2024-10,AAPL,23
legacy,2024-10,AMZN,23
legacy,2024-10,COST,14
legacy,2024-10,GOOG,23
legacy,2024-10,MU,23
legacy,2024-10,NVDA,23
legacy,2024-11,AAPL,17
legacy,2024-11,AMZN,18
legacy,2024-11,COST,15
legacy,2024-11,GOOG,17
legacy,2024-11,MU,17
legacy,2024-11,NVDA,19
legacy,2024-12,AAPL,20
legacy,2024-12,AMZN,20
legacy,2024-12,COST,16
legacy,2024-12,GOOG,20
legacy,2024-12,MU,20
legacy,2024-12,NVDA,20
legacy,2025-01,AAPL,20
legacy,2025-01,AMZN,20
legacy,2025-01,COST,16
legacy,2025-01,GOOG,20
legacy,2025-01,MU,20
legacy,2025-01,NVDA,20
legacy,2025-02,AAPL,19
legacy,2025-02,AMZN,19
legacy,2025-02,COST,13
legacy,2025-02,GOOG,19
legacy,2025-02,MU,18
legacy,2025-02,NVDA,19
legacy,2025-03,AAPL,21
legacy,2025-03,AMZN,21
legacy,2025-03,COST,19
legacy,2025-03,GOOG,21
legacy,2025-03,MU,20
legacy,2025-03,NVDA,21
legacy,2025-03,SNDK,1
legacy,2025-04,AAPL,21
legacy,2025-04,AMZN,21
legacy,2025-04,COST,21
legacy,2025-04,GOOG,21
legacy,2025-04,MU,21
legacy,2025-04,NVDA,21
legacy,2025-05,AAPL,21
legacy,2025-05,AMZN,21
legacy,2025-05,COST,20
legacy,2025-05,GOOG,21
legacy,2025-05,MU,21
legacy,2025-05,NVDA,21
legacy,2025-05,SNDK,3
